,Hgcf_01,Hgcf_02,Hgcf_03,Hgcf_04,Hgcf_05,Hgcf_06,Hgcf_07,Hgcf_08,Hgcf_09,Hgcf_10,PLgcf_01,PLgcf_02,PLgcf_03,PLgcf_04,PLgcf_05,PLgcf_06,PLgcf_07,PLgcf_08,PLgcf_09,PLgcf_10,PMgcf_01,PMgcf_02,PMgcf_03,PMgcf_04,PMgcf_05,PMgcf_06,PMgcf_07,PMgcf_08,PMgcf_09,PMgcf_10,PHgcf_01,PHgcf_02,PHgcf_03,PHgcf_04,PHgcf_05,PHgcf_06,PHgcf_07,PHgcf_08,PHgcf_09,PHgcf_10
Rheinheimera_aquatica,0,0,0,0,0,0,0,0,0,0,0,0,0.0002618,0.000161081,4.43E-05,2.02E-05,1.96E-05,9.93E-06,3.01E-05,9.99E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granulicatella_elegans,0.015159113,0.000814527,0.009403595,0.000495351,0.000756275,0.000562736,0.000606615,0.000815401,0.001679443,0.012275443,0.004162353,0.002423681,0.000735532,0.001187971,0.000631348,0.001150725,0.002241428,0.000854005,0.003600875,0.000689221,0.000863707,0.001107726,0.000357789,0.000674855,0.000414388,0.000205691,0.000351712,0.000570366,0.000933854,0.00186208,0.000523727,0.001720909,0.00035795,4.52E-05,0.00011974,7.69E-05,2.85E-05,3.98E-05,4.24E-05,9.57E-06
Veillonella_rogosae,6.27E-05,0.000738504,0.000189972,0.000219098,0.000347478,4.54E-05,0.000154061,0.000397757,0.00015455,0.000361042,0.000362872,0.00022621,0.000236866,0.000191284,0.00029906,0.000100941,0.00037194,0.000248257,0.000381151,0.000409537,5.08E-05,2.13E-05,1.02E-05,5.78E-05,4.04E-05,6.86E-05,3.10E-05,0.000190122,5.25E-05,0.000126243,0.00016606,0.000113884,2.83E-05,0,9.98E-06,9.62E-06,1.90E-05,0.00014942,3.18E-05,6.70E-05
Odoribacter_denticanis,0,0,0,0,0,0,1.93E-05,0,0,0,0,0,0,0.000140946,7.75E-05,0.000504704,8.81E-05,4.97E-05,7.02E-05,0.000119865,0.002245638,7.46E-05,9.20E-05,9.64E-05,4.04E-05,0,5.17E-05,7.39E-05,0,2.10E-05,1.28E-05,5.06E-05,1.88E-05,0.002141792,0.000159654,0.00013465,0.000856205,3.98E-05,0.001177881,3.83E-05
Haemophilus_parainfluenzae,0.023913997,0.023936228,0.028347986,0.282683661,0.070026981,0.347380555,0.016195657,0.067509248,0.268525387,0.055961576,0.012305623,0.613040481,0.064801656,0.011044106,0.017755281,0.015999112,0.046482719,0.008132907,0.013901984,0.007151918,0.015475598,0.004260486,0.01819613,0.019136957,0.018505978,0.004486018,0.016633909,0.004943175,0.140497776,0.01028878,0.00429201,0.011160601,0.008901658,0.007916497,0.012532804,0.010021833,0.005869762,0.184165438,0.014559037,0.002746779
Actinomyces_cardiffensis,2.09E-05,0,0,0,3.07E-05,0,0,9.94E-06,1.03E-05,1.09E-05,0,1.08E-05,0,0,0,2.02E-05,0,4.97E-05,0,0.000109876,3.05E-05,1.07E-05,1.02E-05,3.86E-05,1.01E-05,5.88E-05,2.07E-05,3.17E-05,0,3.16E-05,0,0.000164499,1.88E-05,9.04E-06,0,0.000211593,2.85E-05,4.98E-05,0.000265289,0
Pseudoramibacter_alactolyticus,5.22E-05,0,0,0,1.02E-05,0,9.63E-05,6.96E-05,1.03E-05,0,2.13E-05,1.08E-05,0,0,0,2.02E-05,1.96E-05,9.93E-06,2.01E-05,2.00E-05,8.13E-05,1.07E-05,2.04E-05,5.78E-05,3.03E-05,1.96E-05,0.000144823,5.28E-05,0,0.000126243,0.00109855,0.000113884,0.000810098,7.23E-05,2.99E-05,7.69E-05,9.51E-05,5.98E-05,5.31E-05,0.000124419
Parvimonas_micra,0.002946154,0.000249788,0.001435341,0.000523929,0.002422124,0.000154299,0.00121323,0.000775625,0.000443043,0.000470449,0.006862546,0.000420105,0.000910066,0.022007671,0.004485894,0.005349861,0.002711247,0.010218268,0.002788421,0.007161907,0.003109345,0.015444262,0.005949521,0.006044772,0.011602874,0.007747686,0.004965346,0.001035109,0.002004113,0.00095734,0.016938111,0.005959913,0.006574981,0.002159866,0.00132712,0.007059525,0.005061124,0.003386859,0.002759001,0.006211358
Abiotrophia_defectiva,0.001170104,0.000553878,0.004474887,0.000381039,0.000633636,0.000662576,0.00121323,0.000725906,0.005749258,0.010010722,0.000683053,0.000161579,0.000760466,0.000221486,0.001794358,0.001181007,0.001213699,0.000933447,0.001153484,0.000769131,0.001585156,0.000489956,0.000511127,0.000453117,0.00017182,0.000117538,0.000113789,0.00031687,0.001217158,0.000399769,0.000178834,0.000480842,0.000414469,6.33E-05,0.000199567,0.000490512,0.000313942,0.006594414,0.000244065,4.79E-05
Peptostreptococcus_stomatis,0.000605947,0.000217207,0.000379943,0.000609663,0.000521217,5.45E-05,0.000115546,0.000407701,0.00021637,0.000273517,0.002902974,0.000355473,0.000785399,0.002194727,0.007808779,0.002695119,0.002319731,0.002919505,0.002557724,0.028757504,0.000914513,0.002886479,0.00120626,0.000848389,0.000555887,0.000724815,0.001944761,0.000792175,0.000692521,0.00046289,0.000587597,0.004239004,0.001168048,0.00034341,0.001666384,0.002625682,0.001788517,0.000767024,0.003363859,0.000851789
Eggerthia_catenaformis,1.04E-05,0,2.11E-05,0,2.04E-05,0,0,0,0,0,3.20E-05,0,0,0,1.11E-05,0,0,6.95E-05,0,2.00E-05,0,1.07E-05,2.04E-05,5.78E-05,6.06E-05,5.88E-05,0,3.17E-05,0,2.10E-05,0,3.80E-05,9.42E-06,1.81E-05,2.99E-05,2.89E-05,9.51E-05,6.97E-05,0.001039931,1.91E-05
Anaeroglobus_geminatus,0.000323868,0.000803666,1.06E-05,1.91E-05,0.000235058,3.63E-05,0.000317751,0.00114355,1.03E-05,0.000196932,0.000298836,0.000193894,0.000374,0.000110743,0.00047628,0.000201882,0.000724304,0.000407142,0.00036109,0.000119865,0.001961123,0.004654581,0.000204451,0.001610011,0.000505352,0.000450561,0.000465501,0.001890659,0.000125913,8.42E-05,0.001788337,0.016019639,0.000207234,0.000244002,0.003721923,0.000730959,0.000789611,0.000757063,0.005592283,0.000172272
