tax.species,tax.phylum
Aridibacter_kavangonensis,Acidobacteria
Bdellovibrio_bacteriovorus,Proteobacteria
Aquicella_siphonis,Proteobacteria
Fusibacter_bizertensis,Firmicutes
Euzebya_tangerina,Actinobacteria
Gordonibacter_pamelaeae,Actinobacteria
Reyranella_soli,Proteobacteria
Chitinimonas_taiwanensis,Proteobacteria
Aminivibrio_pyruvatiphilus,Synergistetes
Sporacetigenium_mesophilum,Firmicutes
Desulfovibrio_oxamicus,Proteobacteria
Clostridium_scindens,Firmicutes
Aminobacterium_thunnarium,Synergistetes
Actinomyces_odontolyticus,Actinobacteria
Mucispirillum_schaedleri,Deferribacteres
Clostridium_spiroforme,Firmicutes
Scardovia_inopinata,Actinobacteria
Sedimentibacter_saalensis,Firmicutes
Thermodesulfovibrio_thiophilus,Nitrospirae
Phenylobacterium_immobile,Proteobacteria
Skermanella_xinjiangensis,Proteobacteria
